Ticker,Name,Exchange,Category,Country
ACSEL.IS,Aciselsan Acipayam Seluloz Sanayi Ve Ticaret A.S.,IST,,Turkey
ADEL.IS,Adel Kalemcilik Ticaret ve Sanayi A.S.,IST,,Turkey
ADESE.IS,Adese Alisveris Merkezleri Ticaret A.S.,IST,,Turkey
AEFES.IS,Anadolu Efes Biracilik ve Malt Sanayii Anonim Sirketi,IST,,Turkey
AFYON.IS,Afyon Cimento Sanayi Turk Anonim Sirketi,IST,,Turkey
AGHOL.IS,Ag Anadolu Grubu Holding A.S.,IST,BIST100,Turkey
AGYO.IS,Atakule Gayrimenkul Yatirim Ortakligi A.S.,IST,,Turkey
AKBNK.IS,Akbank T.A.S.,IST,BIST30,Turkey
AKCNS.IS,Akcansa Cimento Sanayi ve Ticaret A.S.,IST,,Turkey
AKENR.IS,Akenerji Elektrik Uretim A.S.,IST,,Turkey
AKFGY.IS,Akfen Gayrimenkul Yatirim Ortakligi A.S.,IST,,Turkey
AKGRT.IS,Aksigorta Anonim Sirketi,IST,,Turkey
AKMGY.IS,Akmerkez Gayrimenkul Yatirim Ortakligi A.S.,IST,,Turkey
AKSA.IS,Aksa Akrilik Kimya Sanayii A.S.,IST,,Turkey
AKSEN.IS,Aksa Enerji Uretim A.S.,IST,,Turkey
AKSGY.IS,Akis Gayrimenkul Yatirim Ortakligi A.S.,IST,,Turkey
AKSUE.IS,Aksu Enerji Ve Ticaret Anonim Sirketi,IST,,Turkey
ALARK.IS,Alarko Holding A.S.,IST,,Turkey
ALBRK.IS,Albaraka Turk Katilim Bankasi A.S.,IST,,Turkey
ALCAR.IS,Alarko Carrier Sanayi ve Ticaret A.S.,IST,,Turkey
ALCTL.IS,Alcatel Lucent Teletas Telekomunikasyon A.S.,IST,,Turkey
ALGYO.IS,Alarko Gayrimenkul Yatirim Ortakligi A.S.,IST,,Turkey
ALKA.IS,Alkim Kagit Sanayi ve Ticaret AS,IST,,Turkey
ALKIM.IS,Alkim Alkali Kimya Anonim Sirketi,IST,,Turkey
ALYAG.IS,Altinyag Combine, Inc.,IST,,Turkey
ANELE.IS,Anel Elektrik Proje Taahhut ve Ticaret Anonim Sirketi,IST,,Turkey
ANELT.IS,Anel Telekomunikasyon Elektronik Sistemleri Sanayi ve Ticaret A.S.,IST,,Turkey
ANHYT.IS,Anadolu Hayat Emeklilik Anonim Sirket,IST,,Turkey
ANSGR.IS,Anadolu Anonim Turk Sigorta Sirketi,IST,,Turkey
ARCLK.IS,Arcelik Anonim Sirketi,IST,,Turkey
ARENA.IS,Arena Bilgisayar Sanayi ve Ticaret A.S.,IST,,Turkey
ARMDA.IS,Armada Bilgisayar Sistemleri Sanayi ve Ticaret A.S.,IST,,Turkey
ARSAN.IS,Arsan Tekstil Ticaret ve Sanayi Anonim Sirketi,IST,,Turkey
ARTI.IS,Arti Yatirim Holding A.S.,IST,,Turkey
ASELS.IS,Aselsan Elektronik Sanayi ve Ticaret Anonim Sirketi,IST,,Turkey
ASLAN.IS,Aslan Cimento S.A.,IST,,Turkey
ASUZU.IS,Anadolu Isuzu Otomotiv Sanayi ve Ticaret A.S.,IST,,Turkey
ATAGY.IS,Ata Gayrimenkul Yatirim Ortakligi Anonim Sirketi,IST,,Turkey
ATEKS.IS,Akin Tekstil Anonim Sirketi,IST,,Turkey
ATLAS.IS,Atlas Menkul Kiymetler Yatirim Ortakligi A.S.,IST,,Turkey
ATSYH.IS,Atlantis Yatirim Holding A.S.,IST,,Turkey
AVGYO.IS,Avrasya Gayrimenkul Yatirim Ortakligi Anonim Sirketi,IST,,Turkey
AVHOL.IS,Avrupa Yatirim Holding A.S.,IST,,Turkey
AVISA.IS,AvivaSA Emeklilik ve Hayat Anonim Sirketi,IST,,Turkey
AVOD.IS,A.V.O.D Kurutulmus Gida ve Tarim Urunleri Sanayi Ticaret A.S,IST,,Turkey
AVTUR.IS,Avrasya Petrol ve Turistik Tesisler Yatirimlar Anonim Sirketi,IST,,Turkey
AYCES.IS,Altin Yunus cesme Turistik Tesisler A.S.,IST,,Turkey
AYEN.IS,Ayen Enerji A.S.,IST,,Turkey
AYES.IS,Ayes Celik Hasir Ve Cit Sanayi A.S.,IST,,Turkey
AYGAZ.IS,Aygaz Anonim Sirketi,IST,,Turkey
BAGFS.IS,Bagfas Bandirma Gubre Fabrikalari A.S.,IST,,Turkey
BAKAB.IS,Bak Ambalaj Sanayi ve Ticaret A.S.,IST,,Turkey
BALAT.IS,Balatacilar Balatacilik Sanayi Ve Ticaret A.S.,IST,,Turkey
BANVT.IS,Banvit Bandirma Vitaminli Yem Sanayii Anonim Sirketi,IST,,Turkey
BASCM.IS,Bastas Baskent Cimento Sanayi ve Ticaret A.S.,IST,,Turkey
BERDN.IS,BERDN.IS,IST,,Turkey
BEYAZ.IS,Beyaz Filo Oto Kiralama A.S.,IST,,Turkey
BFREN.IS,Bosch Fren Sistemleri Sanayi ve Ticaret A.S.,IST,,Turkey
BIMAS.IS,BIM Birlesik Magazalar A.S.,IST,,Turkey
BIZIM.IS,Bizim Toptan Satis Magazalari A.S.,IST,,Turkey
BJKAS.IS,Besiktas Futbol Yatirimlari Sanayi ve Ticaret A.S.,IST,,Turkey
BLCYT.IS,Bilici Yatirim Sanayi ve Ticaret A.S.,IST,,Turkey
BMEKS.IS,Bimeks Bilgi Islem Ve Dis Ticaret A.S.,IST,,Turkey
BMELK.IS,Bomonti Elektrik Muhendislik Musavirlik Insaat Turizm Ve Ticaret A.S.,IST,,Turkey
BNTAS.IS,Bantas Bandirma Ambalaj Sanayi Ve Ticaret A.S.,IST,,Turkey
BOLUC.IS,Bolu cimento Sanayii Anonim Sirketi,IST,,Turkey
BOSSA.IS,Bossa Ticaret ve Sanayi Isletmeleri T. Anonim Sirketi,IST,,Turkey
BOYP.IS,Boyner Perakende ve Tekstil Yatirimlari Anonim Sirketi,IST,,Turkey
BRISA.IS,Brisa Bridgestone Sabanci Lastik Sanayi ve Ticaret AS,IST,,Turkey
BRKO.IS,Birko Birlesik Koyunlulular Mensucat Ticaret Ve Sanayi A.S.,IST,,Turkey
BRKSN.IS,Berkosan A.S.,IST,,Turkey
BRMEN.IS,Birlik Mensucat Ticaret ve Sanayi Isletmesi A.S.,IST,,Turkey
BRSAN.IS,Borusan Mannesmann Boru Sanayi ve Ticaret A.S.,IST,,Turkey
BRYAT.IS,Borusan Yatirim ve Pazarlama A.S.,IST,,Turkey
BSOKE.IS,Batisoke Soke cimento Sanayii T.A.S.,IST,,Turkey
BTCIM.IS,Baticim Bati Anadolu cimento Sanayii Anonim Sirketi,IST,,Turkey
BUCIM.IS,Bursa Cimento Fabrikasi A.S.,IST,,Turkey
BURCE.IS,Burcelik Bursa Celik Dokum Sanayii A.S.,IST,,Turkey
BURVA.IS,Burcelik Vana Sanayi Ve Ticaret Anonim Sirketi,IST,,Turkey
CCOLA.IS,Coca-Cola Icecek Anonim Sirketi,IST,,Turkey
CELHA.IS,celik Halat ve Tel Sanayii Anonim Sirketi,IST,,Turkey
CEMAS.IS,cemas Dokum Sanayi A.S.,IST,,Turkey
CEMTS.IS,cemtas celik Makina Sanayi ve Ticaret A.S.,IST,,Turkey
CIMSA.IS,cimsa cimento Sanayi ve Ticaret Anonim Sirketi,IST,,Turkey
CLEBI.IS,celebi Hava Servisi A.S.,IST,,Turkey
CMBTN.IS,Cimbeton Hazir Beton ve Prefabrik Yapi Elemanlari Sanayi ve Ticaret A.S.,IST,,Turkey
CMENT.IS,cimentas Izmir cimento Fabrikasi Turk A.S.,IST,,Turkey
COSMO.IS,Cosmos Yatirim Holding AS,IST,,Turkey
CRDFA.IS,Creditwest Faktoring Anonim Sirketi,IST,,Turkey
CRFSA.IS,CarrefourSA Carrefour Sabanci Ticaret Merkezi A.S.,IST,,Turkey
CUSAN.IS,Cuhadaroglu Metal Sanayi ve Pazarlama A.S.,IST,,Turkey
DAGHL.IS,Dagi Yatirim Holding A.S.,IST,,Turkey
DAGI.IS,Dagi Giyim Sanayi ve Ticaret A.S.,IST,,Turkey
DARDL.IS,Dardanel Onentas Gida Sanayi A.S.,IST,,Turkey
DENCM.IS,Denizli Cam Sanayii ve Ticaret A.S.,IST,,Turkey
DENGE.IS,Denge Yatirim Holding A.S.,IST,,Turkey
DENIZ.IS,Denizbank Anonim Sirketi,IST,,Turkey
DERIM.IS,Derimod Konfeksiyon Ayakkabi Deri Sanayi ve Ticaret A.S.,IST,,Turkey
DESA.IS,Desa Deri Sanayi ve Ticaret A.S.,IST,,Turkey
DESPC.IS,Despec Bilgisayar Pazarlama ve Ticaret Anonim Sirketi,IST,,Turkey
DEVA.IS,Deva Holding A.S.,IST,,Turkey
DGATE.IS,Datagate Bilgisayar Malzemeleri Ticaret Anonim Sriketi,IST,,Turkey
DGGYO.IS,Dogus Gayrimenkul Yatirim Ortakligi A.S.,IST,,Turkey
DGKLB.IS,Dogtas Kelebek Mobilya Sanayi ve Ticaret Anonim Sirketi,IST,,Turkey
DIRIT.IS,Diriteks Dirilis Tekstil Sanayi ve Ticaret A.S.,IST,,Turkey
DITAS.IS,Ditas Dogan Yedek Parca Imalat ve Teknik A.S.,IST,,Turkey
DMSAS.IS,Demisas Dokum Emaye Mamulleri Sanayi Anonim Sirketi,IST,,Turkey
DOAS.IS,Dogus Otomotiv Servis ve Ticaret Anonim Sirketi,IST,,Turkey
DOBUR.IS,Dogan Burda Dergi Yayincilik Ve Pazarlama AS,IST,,Turkey
DOCO.IS,DO & CO Aktiengesellschaft,IST,,Turkey
DOGUB.IS,Dogusan Boru Sanayi ve Ticaret Anonim Sirketi,IST,,Turkey
DOHOL.IS,Dogan Sirketler Grubu Holding A.S.,IST,,Turkey
DURDO.IS,Duran Dogan Basim ve Ambalaj Sanayi A.S.,IST,,Turkey
DYOBY.IS,DYO Boya Fabrikalari Sanayi ve Ticaret A.S.,IST,,Turkey
DZGYO.IS,Deniz Gayrimenkul Yatirim Ortakligi Anonim Sirketi,IST,,Turkey
ECILC.IS,EIS Eczacibasi Ilac Sinai ve Finansal Yatirimlar Sanayi ve Ticaret A.S.,IST,,Turkey
ECZYT.IS,Eczacibasi Yatirim Holding Ortakligi A.S.,IST,,Turkey
EDIP.IS,Edip Gayrimenkul Yatirim Sanayi ve Ticaret AS,IST,,Turkey
EGCYH.IS,Egeli & Co Yatirim Holding AS,IST,,Turkey
EGCYO.IS,Egeli & Co. Agriculture Investment Trust Inc.,IST,,Turkey
EGEEN.IS,Ege Endustri ve Ticaret A.S.,IST,,Turkey
EGGUB.IS,Ege Gubre Sanayi A.S.,IST,,Turkey
EGPRO.IS,Ege Profil Ticaret ve Sanayi Anonim Sirketi,IST,,Turkey
EGSER.IS,Ege Seramik Sanayi ve Ticaret A.S.,IST,,Turkey
EKGYO.IS,Emlak Konut Gayrimenkul Yatirim Ortakligi A.S.,IST,,Turkey
EKIZ.IS,Ekiz Kimya Sanayi Ve Ticaret A.S.,IST,,Turkey
EMKEL.IS,Emek Elektrik Endustrisi Anonim Sirketi,IST,,Turkey
EMNIS.IS,Eminis Ambalaj Sanayi ve Ticaret A.S.,IST,,Turkey
ENJSA.IS,Enerjisa Enerji A.S.,IST,,Turkey
ENKAI.IS,Enka Insaat ve Sanayi A.S.,IST,,Turkey
EPLAS.IS,Egeplast Ege Plastik Ticaret ve Sanayi Anonim Sirketi,IST,,Turkey
ERBOS.IS,Erbosan Erciyas Boru Sanayii ve Ticaret A.S.,IST,,Turkey
EREGL.IS,Eregli Demir ve celik Fabrikalari T.A.S.,IST,,Turkey
ERSU.IS,Ersu Meyve ve Gida Sanayii A.S.,IST,,Turkey
ESCOM.IS,Escort Teknoloji Yatirim A.S.,IST,,Turkey
ETILR.IS,Etiler Gida Ve Ticari Yatirimlar Sanayi Ve Ticaret Anonim Sirketi,IST,,Turkey
ETYAT.IS,Euro Trend Yatirim Ortakligi Anonim Sirketi,IST,,Turkey
EUHOL.IS,Euro Yatirim Holding A.S.,IST,,Turkey
EUKYO.IS,Euro Kapital Yatirim Ortakligi AS,IST,,Turkey
EUYO.IS,Euro Menkul Kiymet Yatirim Ortakligi Anonim Sirketi,IST,,Turkey
FENER.IS,Fenerbahce Futbol A.S.,IST,,Turkey
FENIS.IS,Fenis Aluminyum Sanayi ve Ticaret Anonim Sirketi,IST,,Turkey
FLAP.IS,Flap Kongre Toplanti Hizmetleri Otomotiv ve Turizm A.S.,IST,,Turkey
FMIZP.IS,Federal - Mogul Izmit Piston Ve Pim Uretim Tesisleri A.S.,IST,,Turkey
FNSYO.IS,FNSYO.IS,IST,,Turkey
FRIGO.IS,Frigo-Pak Gida Maddeleri Sanayi ve Ticaret A.S.,IST,,Turkey
FROTO.IS,Ford Otomotiv Sanayi A.S.,IST,,Turkey
GARAN.IS,Turkiye Garanti Bankasi A.S.,IST,,Turkey
GARFA.IS,Garanti Faktoring A.S.,IST,,Turkey
GEDIK.IS,Gedik Yatirim Menkul Degerler A.S.,IST,,Turkey
